id,nuc,name,parent,total
NCOR:MUS,NCOR:MUS,Corrective Services NSW. CSNSW Museum.,13095,0
NCOR,NCOR,Corrective Services NSW. Library@CSNSW.,13095,8139
NCOR:MR,NCOR:MR,Corrective Services NSW. MRRC Library.,13095,0
NCOPH,NCOPH,Council of Private Higher Education Inc.,,0
SSC,SSC,Courts Administration Authority. CAA Library Service.,,4111
XSC,XSC,Courts Library (NT).,,6564
VCHM,VCHM,Creswick Museum.,,25
QCSH,QCSH,CRS Australia. CRS Library.,,0
VS:PUB,VS:PUB,CSIRO Publishing. scienceimage.,,3765
12644,,CSIRO.,,616673
VS:NAH,VS:NAH,"CSIRO. AAHL Library, Geelong.",12644,0
AS:MIS,AS:MIS,CSIRO. Acton Library.,12644,0
SS:HN,SS:HN,CSIRO. Adelaide Library.,12644,0
XS:AL,XS:AL,CSIRO. Alice Springs Library.,12644,0
NS:ARM,NS:ARM,CSIRO. Armidale Library.,12644,0
VS:ATP,VS:ATP,CSIRO. Aspendale Library.,12644,0
QS:TFR,QS:TFR,CSIRO. Atherton Library.,12644,0
WS:AUS,WS:AUS,CSIRO. AuScope.,12644,3
WS:ANDS,WS:ANDS,CSIRO. AuScope. Research Data via ANDS.,WS:AUS,0
VS:TXI,VS:TXI,CSIRO. Belmont Library.,12644,0
AS:PE,AS:PE,CSIRO. Black Mountain Library.,12644,192919
VS:MIE,VS:MIE,CSIRO. Clayton West Library.,12644,0
QS:FR,QS:FR,CSIRO. Coopers Plains Library.,12644,0
5036,,CSIRO. Crace Library (CLOSED).,12644,0
QS:TCP,QS:TCP,CSIRO. Cunningham Library (CSIRO).,12644,0
XS:DAR,XS:DAR,CSIRO. Darwin Library.,12644,0
QS:FO,QS:FO,CSIRO. Dutton Park Library.,12644,0
WS:RL,WS:RL,CSIRO. Floreat Library.,12644,0
NS:GR,NS:GR,CSIRO. Griffith Library.,12644,0
VS:BR,VS:BR,CSIRO. Highett Library.,12644,1
TS:FO,TS:FO,CSIRO. Hobart Library.,12644,0
VS:IWL,VS:IWL,CSIRO. Ian Wark Library.,12644,19590
WS:ARR,WS:ARR,CSIRO. Kensington Library.,12644,0
VS:CL,VS:CL,CSIRO. Library Services.,12644,310151
NS:TIPL,NS:TIPL,CSIRO. Lindfield Library.,12644,0
VS:LRL,VS:LRL,CSIRO. Lloyd Rees Library.,12644,0
NS:TIPM,NS:TIPM,CSIRO. Marsfield Library.,12644,0
NS:ER,NS:ER,CSIRO. Newcastle Library.,12644,0
VS:PRC,VS:PRC,CSIRO. Parkville Library.,12644,0
VS:PU,VS:PU,CSIRO. Publishing.,12644,88838
QS:CAT,QS:CAT,"CSIRO. QCAT Library, Pullenvale.",12644,0
VS:ANDS,VS:ANDS,CSIRO. Research Data via ANDS.,12644,5171
NS:RVR,NS:RVR,CSIRO. Riverside Library.,12644,0
TS:RL,TS:RL,CSIRO. Sandy Bay Library.,12644,0
QS:TL,QS:TL,CSIRO. Townsville Library.,12644,0
SS:MIS,SS:MIS,"CSIRO. Waite Campus Library, CMIS.",12644,0
SS:SO,SS:SO,CSIRO. Waite Campus Library.,12644,0
WS:MIN,WS:MIN,CSIRO. Waterford Library.,12644,0
VAFISC,VAFISC,CSIRO. Werribee Library.,12644,0
12668,,CSL Limited.,,0
VCSL:B,VCSL:B,CSL Limited. Bioplasma Library.,12668,0
VCSL,VCSL,CSL Limited. Knowledge Centre.,12668,0
WNAR,WNAR,Cuballing Shire Council. Narrogin Public Library .,,0
WCUE,WCUE,Cue Shire Council. Cue Public Library.,,0
12192,,Cumberland Council.,,174316
NAUB,NAUB,Cumberland Council. Auburn Library.,12192,55314
5396,,Cumberland Council. Auburn Library. Lidcombe Library.,NAUB,0
4777,,Cumberland Council. Auburn Library. Regents Park Library.,NAUB,0
4901,,Cumberland Council. Granville Library.,12192,0
4902,,Cumberland Council. Guildford Library.,12192,0
NHOL,NHOL,Cumberland Council. Holroyd City Council Library Service.,12192,119002
1889,,Cumberland Council. Holroyd City Council Library Service. Greystanes Library.,NHOL,0
1888,,Cumberland Council. Holroyd City Council Library Service. Wentworthville Library.,NHOL,0
13046,,Curtin University.,,344160
WCU,WCU,Curtin University. Curtin University Library.,13046,341655
WCU:IR,WCU:IR,Curtin University. Curtin University Library. Curtin University: Institutional Repository.,WCU,71895
WCU:ANDS,WCU:ANDS,Curtin University. Curtin University Library. Research Data via ANDS.,WCU,2791
WCU:JC,WCU:JC,Curtin University. John Curtin Prime Ministerial Library.,13046,2505
VJTL,VJTL,Dalton McCaughey Library.,,1
WDAL,WDAL,Dalwallinu Shire Council. Dalwallinu Library.,,0
VPRE,VPRE,Darebin Libraries. Preston Library.,,105180
QTDD,QTDD,Darling Downs Health Service District. Darling Downs Health Library.,,31
325137,,Deakin University.,,574918
VDU,VDU,Deakin University. Deakin University Library.,325137,574630
VDU:IR,VDU:IR,Deakin University. Deakin University Library. Deakin University: Institutional Repository.,VDU,126963
VDU:OJS,VDU:OJS,Deakin University. Deakin University Library. Deakin University: Open Journals System.,VDU,788
VDU:ANDS,VDU:ANDS,Deakin University. Research Data via ANDS.,325137,288
13078,,Defence Science and Technology Group.,,4124
SDSTO,SDSTO,Defence Science and Technology Group. DST Group - Research Information Services - Edinburgh.,13078,0
NDST,NDST,Defence Science and Technology Group. DST Group-Sydney Research Information Services.,13078,0
VDSTO,VDSTO,Defence Science and Technology Group. DSTG Research Data and Information.,13078,4124
VALZ,VALZ,Dementia Australia Vic. Dementia Australia Vic Division Library.,,1502
SMD,SMD,Department for Energy and Mining (SA). Geoscience Library.,,0
13129,,Department of Agriculture and Fisheries Qld.,,36633
QPID:RR,QPID:RR,Department of Agriculture and Fisheries Qld. DAF Qld eResearch Archive.,13129,7129
QFOOD,QFOOD,Department of Agriculture and Fisheries Qld. DAF Research Information Service Coopers Plains.,13129,0
QPID,QPID,Department of Agriculture and Fisheries Qld. Dept of Agriculture and Fisheries Qld Research Information Service.,13129,29487
QPID:ANDS,QPID:ANDS,Department of Agriculture and Fisheries Qld. Research Data via ANDS.,13129,17
ASET,ASET,"Department of Agriculture, Water and Environment.",,29875
TANT,TANT,"Department of Agriculture, Water and Environment. Australian Antarctic Division Library.",ASET,0
XSAR,XSAR,"Department of Agriculture, Water and Environment. Supervising Scientist Division Library.",ASET,0
ABOT,ABOT,"Department of Climate Change, Energy, the Environment and Water. Australian National Botanic Gardens Library.",,3470
13096,,Department of Defence.,,0
311420,,Department of Defence. Defence International Training Centre Library.,13096,0
AJSSC,AJSSC,Department of Defence. Defence Library Service - Australian Defence College.,13096,0
QQLD,QQLD,Department of Defence. Defence Library Service - Brisbane.,13096,0
VCERB,VCERB,Department of Defence. Defence Library Service - Cerberus.,13096,0
WDLS:ST,WDLS:ST,Department of Defence. Defence Library Service - Fleet Base West.,13096,0
NSMENG,NSMENG,Department of Defence. Defence Library Service - Liverpool.,13096,0
VDLS:WI,VDLS:WI,Department of Defence. Defence Library Service - Williams.,13096,0
AEEWR,AEEWR,Department of Employment and Workplace Relations.,,23234
ADAC,ADAC,Department of Finance. Finance Library.,,4671
AEAD,AEAD,Department of Foreign Affairs and Trade. H.V. Evatt Library.,,32226
14646,,Department of Health (Queensland Health).,,3
QDH,QDH,Department of Health (Queensland Health). Clinical Knowledge Resources.,14646,0
QHSS,QHSS,Department of Health (Queensland Health). Forensic and Scientific Services. Information Research Services.,14646,3
17614,,Department of Health (WA).,,22090
WHD,WHD,Department of Health (WA). Department of Health Library Services.,17614,22090
WSMAH,WSMAH,Department of Health (WA). South Metropolitan Area Health Service.,17614,0
ACSH,ACSH,Department of Health. Health Library.,,5419
13112,,Department of Home Affairs.,,9266
AIEA,AIEA,Department of Home Affairs. Department of Home Affairs Library.,13112,9266
ACB,ACB,Department of Home Affairs. Library (Australian Customs Collection).,13112,0
AINC,AINC,"Department of Industry, Science, and Resources.",,20194
ADTC,ADTC,"Department of Infrastructure, Transport, Regional Development, Community and the Arts.",,4920
APLR,APLR,"Department of Infrastructure, Transport, Regional Development, Community and the Arts. Public and Educational Lending Right Program.",ADTC,1
QAG,QAG,Department of Justice and Attorney-General. Crown Law Library.,,220
VLAW:O,VLAW:O,Department of Justice Victoria. Consumer Affairs Library.,,0
TPE,TPE,Department of Natural Resources and Environment Tasmania. Department of Natural Resources and Environment Tasmania.,,13041
TFS,TFS,"Department of Police, Fire & Emergency Management Library.",,1917
WAD,WAD,Department of Primary Industries and Regional Development. Library.,,13617
TGO,TGO,Department of State Growth (TAS). Department of State Growth: Information Reference and Research Service.,,1196
XCOC:GN,XCOC:GN,Department of the Attorney-General and Justice. Graham Nicholson Law Collection.,,2425
WOSA,WOSA,Department of the Premier and Cabinet (WA). Library and Research Services.,,0
13142,,Department of the Prime Minister and Cabinet.,,31057
APMD,APMD,Department of the Prime Minister and Cabinet. DPMC Library.,13142,30962
APMD:TR,APMD:TR,Department of the Prime Minister and Cabinet. DPMC Library. PM Transcripts.,APMD,22657
AONAS,AONAS,Department of the Prime Minister and Cabinet. Office of National Assessments.,13142,0
ATD,ATD,Department of the Prime Minister and Cabinet. Treasury Library .,13142,95
ASSD,ASSD,Dept. of Social Services. Library Services.,,24003
NDOS,NDOS,Dictionary of Sydney.,,649
VDVHS,VDVHS,Dingley Village Historical Society.,,1
SPBRO,SPBRO,District Council of Barunga West. Port Broughton School Community Barunga West.,,11157
5936,,District Council of Barunga West. Port Broughton School Community Barunga West. Bute Library Annex.,SPBRO,0
SCSC,SCSC,District Council of Ceduna. Ceduna School Community Library.,,15449
SCS,SCS,District Council of Cleve. Cleve School Community Library.,,14267
SCPS,SCPS,District Council of Coober Pedy. Coober Pedy School Community Library.,,30052
SCOW,SCOW,District Council of Franklin Harbour. Cowell School Community Library.,,13636
SPDM,SPDM,District Council of Grant. Mary Lattin Memorial Library.,,8030
SKSC,SKSC,District Council of Karoonda East Murray. Karoonda Community Library.,,11134
SKL,SKL,District Council of Kimba. Kimba Library.,,9294
SCSCL,SCSCL,District Council of Lower Eyre Peninsula. Cummins Area School.,,16247
13165,,District Council of Loxton Waikerie.,,22114
SLPL,SLPL,District Council of Loxton Waikerie. Loxton Public Library.,13165,22114
SRCM,SRCM,District Council of Loxton Waikerie. Rex Coats Memorial Library.,13165,0
326937,,District Council of Loxton Waikerie. Waikerie Public Library.,13165,0
SMBAR,SMBAR,District Council of Mount Barker. Mount Barker Community Library.,,36594
13178,,Donnybrook-Balingup Library Services.,,0
WBAL,WBAL,Donnybrook-Balingup Library Services. Balingup Library.,13178,0
WDNY,WDNY,Donnybrook-Balingup Library Services. Donnybrook Community Library.,13178,0
WDDM,WDDM,Dowerin District Museum.,,17
13195,,Dumbleyung Shire Council Libraries.,,0
WDUM,WDUM,Dumbleyung Shire Council Libraries. Dumbleyung Public Library.,13195,0
WKUK,WKUK,Dumbleyung Shire Council Libraries. Kukerin Library.,13195,0
WNOS,WNOS,Dundas Shire Council. Norseman Public Library.,,0
VEGFHG,VEGFHG,East Gippsland Family History Group.,,2
VEGS,VEGS,East Gippsland Shire Library.,,47071
6479,,East Gippsland Shire Library. Bairnsdale Library.,VEGS,0
6482,,East Gippsland Shire Library. Lakes Entrance Library.,VEGS,0
6478,,East Gippsland Shire Library. Mobile Library.,VEGS,0
326637,,East Gippsland Shire Library. Omeo Library.,VEGS,0
6480,,East Gippsland Shire Library. Orbost Library.,VEGS,0
6477,,East Gippsland Shire Library. Paynesville Library.,VEGS,0
WEGHS,WEGHS,Eastern Goldfields Historical Society.,,17
4859,,Eastern Goldfields Historical Society. Eastern Goldfields Historical Society Library.,WEGHS,0
VEAH,VEAH,Eastern Health.,,0
14514,,Eastern Health. Eastern Health - Peter James Centre,VEAH,0
VESG,VESG,Eastern Health. Eastern Health - Peter James Centre Health Sciences Library.,14514,0
VEAR,VEAR,Eastern Regional Libraries.,,108425
333998,,Eastern Regional Libraries. Bayswater Library.,VEAR,0
6832,,Eastern Regional Libraries. Belgrave Library.,VEAR,0
6816,,Eastern Regional Libraries. Boronia Library.,VEAR,0
6817,,Eastern Regional Libraries. Croydon Library.,VEAR,0
6815,,Eastern Regional Libraries. Ferntree Gully Library.,VEAR,0
6820,,Eastern Regional Libraries. Healesville Library.,VEAR,0
84137,,Eastern Regional Libraries. Knox Library.,VEAR,0
6819,,Eastern Regional Libraries. Knox Outreach.,VEAR,0
6826,,Eastern Regional Libraries. Lilydale Library.,VEAR,0
334017,,Eastern Regional Libraries. Monbulk Reading Room.,VEAR,0
6827,,Eastern Regional Libraries. Montrose Library.,VEAR,0
6830,,Eastern Regional Libraries. Mooroolbark Library.,VEAR,0
6829,,Eastern Regional Libraries. Mt Evelyn Library.,VEAR,0
6822,,Eastern Regional Libraries. Ranges Flexi Vehicle.,VEAR,0
6824,,Eastern Regional Libraries. Realm Library.,VEAR,0
6825,,Eastern Regional Libraries. Rowville Library.,VEAR,0
334037,,Eastern Regional Libraries. Yarra Glen Reading Room.,VEAR,0
6821,,Eastern Regional Libraries. Yarra Junction Library.,VEAR,0
9991,,Edith Cowan University.,,1267050
WCX,WCX,Edith Cowan University. Edith Cowan University Library.,9991,1267050
WCX:IR,WCX:IR,Edith Cowan University. Edith Cowan University Library. Edith Cowan University: Institutional Repository.,WCX,29385
5369,,Edith Cowan University. Edith Cowan University Library. Joondalup Campus Library.,WCX,0
514,,Edith Cowan University. Edith Cowan University Library. Mt Lawley Campus Library.,WCX,0
2035,,Edith Cowan University. Edith Cowan University Library. South West Campus Library.,WCX,0
WCX:A,WCX:A,Edith Cowan University. University Archives.,9991,0
VESA,VESA,Education Services Australia Ltd.,,1
NCMR,NCMR,Edward River Library.,,28843
SLOC,SLOC,Elliston Libraries. Lock School Community Library.,,11349
VELTH,VELTH,Eltham District Historical Society.,,11904
NES,NES,Emanuel School. Emanuel School Library.,,0
QEMC,QEMC,Emmanuel College.,,0
QEMSC,QEMSC,"Emmaus College, Rockhampton.",,0
6845,,"Emmaus College, Rockhampton. Emmaus College Library.",QEMSC,0
QCE,QCE,Energy QLD. Information Resources.,,2803
VEPI,VEPI,Episteme Health.,,17
13267,,Epworth Healthcare.,,1963
VEPH,VEPH,Epworth Healthcare. Epworth HealthCare - Library.,13267,0
VEPH:IR,VEPH:IR,Epworth Healthcare. Epworth Institutional Repository.,13267,1963
NESL,NESL,Eurobodalla Shire Council Libraries.,,47405
NESL:B,NESL:B,Eurobodalla Shire Council Libraries. Batemans Bay Library.,NESL,0
NESL:M,NESL:M,Eurobodalla Shire Council Libraries. Moruya Library.,NESL,47405
NESL:N,NESL:N,Eurobodalla Shire Council Libraries. Narooma Library.,NESL,0
VCBC,VCBC,Eva Burrows College.,,28935
NWI,NWI,Excelsia College. Excelsia College Library.,,0
WEXM,WEXM,Exmouth Shire Council. Exmouth Public Library.,,0
SEC,SEC,Eynesbury College.,,0
SEPR,SEPR,Eyre Pensinsula Railway Preservation Society.,,3321
328997,,Fair Work Commission.,,0
VCAC,VCAC,Fair Work Commission. Library.,328997,0
VRKA,VRKA,Fair Work Commission. Sir Richard Kirby Archive.,328997,0
NFML,NFML,Fairfield City Council. The Whitlam Library.,,54926
QFC,QFC,Fairholme College.,,0
QFCT,QFCT,Fairholme College. Greta Statham Learning Centre.,QFC,0
WFHH,WFHH,Fairview Historic Home.,,14
VFML,VFML,Fawkner Motoring Library.,,3354
NFDC,NFDC,Federal Court of Australia.,,53345
NFDC:S,NFDC:S,Federal Court of Australia. Library & Information Services  (South Australia).,NFDC,8537
NFDC:A,NFDC:A,Federal Court of Australia. Library & Information Services (Australian Capital Territory).,NFDC,1549
NFCA,NFCA,Federal Court of Australia. Library & Information Services (New South Wales - Family Law) .,NFDC,12
NFDC:N,NFDC:N,Federal Court of Australia. Library & Information Services (Principal Registry & New South Wales).,NFDC,7938
NFDC:Q,NFDC:Q,Federal Court of Australia. Library & Information Services (Queensland).,NFDC,6436
NFDC:T,NFDC:T,Federal Court of Australia. Library & Information Services (Tasmania).,NFDC,1854
NFDC:V,NFDC:V,Federal Court of Australia. Library & Information Services (Victoria).,NFDC,14011
NFDC:W,NFDC:W,Federal Court of Australia. Library & Information Services (Western Australia).,NFDC,13002
NFCA:P,NFCA:P,"Federal Court of Australia. Library & Information Services, Parramatta.",NFDC,0
VFEU,VFEU,Federation of Education Unions of Australia. Federation of Education Unions Information Centre.,,2847
VFED,VFED,Federation University Australia Library.,,98745
VFED:IR,VFED:IR,Federation University Australia Library. Federation Research Online.,VFED,113
9447,,Federation University Australia Library. Federation University - Berwick Campus Library.,VFED,0
VFED:A,VFED:A,Federation University Australia Library. Federation University Art Collection.,VFED,2333
VFED:G,VFED:G,Federation University Australia Library. Federation University Australia - Gippsland campus library.,VFED,86663
VFED:F,VFED:F,Federation University Australia Library. Federation University Figshare Repository.,VFED,0
VFED:HC,VFED:HC,Federation University Australia Library. Federation University Historical Collection.,VFED,9562
7416,,Federation University Australia Library. Mt Helen campus library.,VFED,0
VFED:ANDS,VFED:ANDS,Federation University Australia Library. Research Data via ANDS.,VFED,72
1375,,Federation University Australia Library. SMB campus library.,VFED,0
9323,,Federation University Australia Library. Werrunangity larr Wimmerata : Wimmera Campus Library.,VFED,0
VFNC,VFNC,Field Naturalists Club of Victoria Inc. Field Naturalists Club of Victoria Library.,,1
NNFB,NNFB,Fire & Rescue NSW. FRNSW Library.,,6
VFSM,VFSM,Fire Services Museum of Victoria.,,39
YUF,YUF,Flickr.,,511142
SFLIN,SFLIN,Flinders Medical Centre.,,0
328718,,"Flinders Medical Centre. Medical Imaging Library, Flinders Medical Centre  (SFMC).",SFLIN,0
QFSP,QFSP,Flinders Shire Council. Flinders Shire Council Historical Photograph Collection.,,1262
13342,,Flinders University.,,559858
SFU:PDM,SFU:PDM,Flinders University. Flinders University - Person data.,13342,116
SFU,SFU,Flinders University. Flinders University Central Library.,13342,559638
SFU:IR,SFU:IR,Flinders University. Flinders University Central Library. Flinders University: Institutional Repository .,SFU,30527
SFU:SC,SFU:SC,Flinders University. Flinders University Library Special Collections.,13342,0
7862,,Flinders University. Gus Fraenkel Medical Library.,13342,0
SFU:ANDS,SFU:ANDS,Flinders University. Research Data via ANDS.,13342,104
7876,,Flinders University. Sturt Library .,13342,0
NFHS,NFHS,Forbes Historical Society and Museum.,,1349
VFRK,VFRK,Frankston Library Service. Frankston City Libraries .,,125760
QMAR,QMAR,Fraser Coast Regional Libraries.,,8
9284,,Fraser Coast Regional Libraries. Burrum Heads Library.,QMAR,0
4704,,Fraser Coast Regional Libraries. Hervey Bay Library.,QMAR,0
7665,,Fraser Coast Regional Libraries. Howard Library.,QMAR,0
7613,,Fraser Coast Regional Libraries. Tom Gee Memorial Library and Community Centre.,QMAR,0
WFIAS,WFIAS,Frederwick Irwin Anglican School.,,0
VKER,VKER,Gannawarra Library Service. Sir John Gorton Library - Kerang.,,27058
VGCC,VGCC,Geelong Cycling Club.,,109
VGFC,VGFC,Geelong Football Club.,,12
VGEG,VGEG,Geelong Grammar School. Fisher Library.,,0
VGEE,VGEE,Geelong Regional Library Corporation. Library Administration.,,168814
VGRSL,VGRSL,Geelong RSL Sub Branch.,,241
VGFCJ,VGFCJ,Genazzano F.C.J. College Library.,,40593
16894,,Genazzano F.C.J. College Library. Grange Hill Library.,VGFCJ,0
5908,,Genazzano F.C.J. College Library. Senior School Library.,VGFCJ,0
QGENC,QGENC,Genesis Christian College.,,0
10037,,Georges River Council.,,132603
NHUR,NHUR,Georges River Council. Hurstville Library and Service Centre.,10037,86423
8792,,Georges River Council. Hurstville Library and Service Centre. Penshurst Branch Library.,NHUR,0
NKOG,NKOG,Georges River Council. Kogarah Library and Service Centre.,10037,46180
7063,,Georges River Council. Kogarah Library and Service Centre. Oatley Library.,NKOG,0
7061,,Georges River Council. Kogarah Library and Service Centre. South Hurstville.,NKOG,0
17755,,Geoscience Australia.,,57372
AMG,AMG,Geoscience Australia. N.H. (Doc) Fisher Geoscience Library.,17755,40177
AMG:ANDS,AMG:ANDS,Geoscience Australia. Research Data via ANDS.,17755,17195
QGTE,QGTE,Gestalt Training and Education.,,0
NGTLL,NGTLL,Gilbert & Tobin Law Library.,,0
VGHA,VGHA,Gippsland Health Alliance.,,0
QGML,QGML,Gladstone Regional Council Libraries. Gladstone City Libraries.,,0
VGEHS,VGEHS,Glen Eira Historical Society.,,1609
VCAU,VCAU,Glen Eira Libraries. Carnegie Library and Community Centre .,,102870
VGWSC,VGWSC,Glen Waverley Secondary College.,,0
VGLEN,VGLEN,Glenelg Shire Council. Glenelg Libraries.,,32701
7389,,Glenelg Shire Council. Glenelg Libraries. Casterton Library.,VGLEN,0
7393,,Glenelg Shire Council. Glenelg Libraries. Glenelg Libraries Outreach.,VGLEN,0
7391,,Glenelg Shire Council. Glenelg Libraries. Heywood Library.,VGLEN,0
7390,,Glenelg Shire Council. Glenelg Libraries. Portland Library.,VGLEN,0
NGLB,NGLB,Global Language Book Pty Ltd.,,1
QSCR:R,QSCR:R,Gold Coast District Health Service. Robina Hospital Library.,,1
QSCR,QSCR,Gold Coast Health Library Service.,,2889
VNCG,VNCG,Goldfields Library Corporation.,,107070
327117,,Goldfields Library Corporation. Bendigo Library.,VNCG,0
8722,,Goldfields Library Corporation. Castlemaine Library.,VNCG,0
327097,,Goldfields Library Corporation. Eaglehawk Library.,VNCG,0
8725,,Goldfields Library Corporation. Gisborne Library.,VNCG,0
8726,,Goldfields Library Corporation. Heathcote Library.,VNCG,0
8724,,Goldfields Library Corporation. Kangaroo Flat Library.,VNCG,0
8727,,Goldfields Library Corporation. Kyneton Library.,VNCG,0
3616,,Goldfields Library Corporation. Mobile Library.,VNCG,0
257459,,Goldfields Library Corporation. Romsey Library.,VNCG,0
8718,,Goldfields Library Corporation. Woodend Library.,VNCG,0
QGRC,QGRC,Goondiwindi Town Council. Goondiwindi Regional Council Library Service.,,0
2643,,Goondiwindi Town Council. Goondiwindi Regional Council Library Service. Inglewood Library.,QGRC,0
6242,,Goondiwindi Town Council. Goondiwindi Regional Council Library Service. Texas Library.,QGRC,0
VGT,VGT,Gordon Institute of TAFE. Gordon Library.,,11117
NSOT,NSOT,Goulburn Mulwaree Library.,,33785
VGBV,VGBV,Goulburn Ovens Institute of TAFE. Goulburn Ovens Institute of TAFE Library.,,8720
VGVB,VGVB,Goulburn Valley Health. Library.,,2524
VGVH,VGVH,Goulburn Valley Libraries. Shepparton City Library.,,104998
13475,,Great Barrier Reef Marine Park Authority.,,15246
QGBR:IC,QGBR:IC,Great Barrier Reef Marine Park Authority. Image Collection.,13475,9204
QGBR,QGBR,Great Barrier Reef Marine Park Authority. Information Services.,13475,2528
QGBR:IR,QGBR:IR,Great Barrier Reef Marine Park Authority. Institutional Repository.,13475,3514
WGMG,WGMG,Greenough Museum and Gardens.,,259
13495,,Griffith University.,,171709
QGU,QGU,Griffith University. Griffith University Library.,13495,114221
QGU:IR,QGU:IR,Griffith University. Griffith University Library. Griffith Research Online.,QGU,114220
QGU:ANDS,QGU:ANDS,Griffith University. Research Data via ANDS.,13495,245
QPRO,QPRO,Griffith University. The Prosecution Project .,13495,57243
QGU:OJS,QGU:OJS,Griffith University. ePress.,13495,0
QCOO,QCOO,Gympie Regional Libraries.,,61644
7486,,Gympie Regional Libraries. Goomeri Library.,QCOO,0
288278,,Gympie Regional Libraries. Gympie Library.,QCOO,0
6456,,Gympie Regional Libraries. Imbil Library.,QCOO,0
2711,,Gympie Regional Libraries. Kilkivan Library.,QCOO,0
6567,,Gympie Regional Libraries. Rainbow Beach Library.,QCOO,0
6566,,Gympie Regional Libraries. Tin Can Bay Library.,QCOO,0
23277,,Haileybury College.,,4
VHAIL,VHAIL,Haileybury College. Haileybury College Libraries.,23277,4
XHAIL,XHAIL,Haileybury College. Haileybury Rendall School Library.,23277,0
WHALE,WHALE,Hale School.,,0
6107,,Hale School. Hale School Senior Library.,WHALE,0
YHATHI,YHATHI,Hathi Trust.,,75449
NHKS,NHKS,Hawkesbury City Council Library Service. Hawkesbury Central Library.,,67336
NHECO,NHECO,Health Communication Network. HCN Library.,,0
NHDL,NHDL,Health Education and Training Institute. Brian Tutt Library.,,0
NHDY,NHDY,Henry Davis York (Solicitors). Henry Davis York Library.,,0
VHEP,VHEP,Hepburn Shire Council.,,10
VNEA,VNEA,High Country Library Network.,,91863
6000,,High Country Library Network. Benalla Library.,VNEA,0
4325,,High Country Library Network. Bright Library.,VNEA,0
VWAN,VWAN,"High Country Library Network. Information Access, Wangaratta Campus.",VNEA,0
4326,,High Country Library Network. Mansfield Library.,VNEA,0
4319,,High Country Library Network. Mt Beauty Library.,VNEA,0
3642,,High Country Library Network. Myrtleford Library.,VNEA,0
AHC,AHC,High Court of Australia. High Court of Australia Library.,,15350
QHILL,QHILL,Hillbrook Anglican School.,,0
VHIND,VHIND,Hindmarsh Shire Libraries.,,12477
VHOB:CC,VHOB:CC,Hobsons Bay City Council.,,3
VWBG,VWBG,Hobsons Bay City Council. Williamstown Botanic Gardens.,VHOB:CC,0
VHOB,VHOB,Hobsons Bay Libraries.,,93082
5388,,Hobsons Bay Libraries. Altona Library.,VHOB,0
5160,,Hobsons Bay Libraries. Altona Meadows Library and Learning Centre.,VHOB,0
5161,,Hobsons Bay Libraries. Newport Library.,VHOB,0
5162,,Hobsons Bay Libraries. Williamstown Library.,VHOB,0
13584,,Holmesglen Institute of TAFE.,,27936
VHOM:AR,VHOM:AR,Holmesglen Institute of TAFE. Holmesglen Institutional Repository.,13584,120
VHOM,VHOM,Holmesglen Institute of TAFE. Holmesglen Library.,13584,27816
QHSCM,QHSCM,Holy Spirit College Mackay.,,0
NHOM,NHOM,Hornsby Shire Library & Information Service. Hornsby Shire Library & Information Service.,,102114
NHOM:DC,NHOM:DC,Hornsby Shire Library & Information Service. Hornsby Shire Library & Information Service. Hornsby Shire Library & Information Service Digital Collections.,NHOM,5783
VHUM,VHUM,Hume Libraries.,,89650
3645,,Hume Libraries. Craigieburn Library.,VHUM,0
4140,,Hume Libraries. Gladstone Park Community Library.,VHUM,0
34,,Hume Libraries. Hume Mobile Library.,VHUM,0
57736,,Hume Libraries. Sunbury Library.,VHUM,0
3650,,Hume Libraries. Tullamarine Library.,VHUM,0
VHNHA,VHNHA,HumeNET Health Alliance.,,0
14353,,Hunter New England Local Health District.,,13667
NHNEH:MATER,NHNEH:MATER,Hunter New England Local Health District. HNE Health Libraries The Mater Hospital.,14353,13667
NHNEH:TAM,NHNEH:TAM,"Hunter New England Local Health District. HNE Health Library, Tamworth.",14353,0
NHNEH:JH,NHNEH:JH,Hunter New England Local Health District. John Hunter Hospital Library.,14353,0
NHWL,NHWL,Hunter Workers Library.,,585
THSL,THSL,Hutchins School. Nettlefold Library.,,49
14975,,Illawarra Shoalhaven Local Health District.,,4392
NPKH,NPKH,Illawarra Shoalhaven Local Health District. Port Kembla Hospital Library.,14975,0
NIAH,NIAH,Illawarra Shoalhaven Local Health District. Shellharbour Hospital Library.,14975,0
NSHOAL,NSHOAL,Illawarra Shoalhaven Local Health District. Shoalhaven Hospital Library.,14975,0
NWH,NWH,Illawarra Shoalhaven Local Health District. Wollongong Hospital Medical/Health Sciences Library.,14975,4392
334558,,Indigo Shire Council.,,23327
VBBM,VBBM,Indigo Shire Council. Beechworth Burke Museum.,334558,703
VISL,VISL,Indigo Shire Council. Indigo Shire Libraries.,334558,22624
6353,,Indigo Shire Council. Indigo Shire Libraries. Beechworth Library.,VISL,0
6363,,Indigo Shire Council. Indigo Shire Libraries. Chiltern Library.,VISL,0
6396,,Indigo Shire Council. Indigo Shire Libraries. Rutherglen Library.,VISL,0
QISHS,QISHS,Indooroopilly State High School.,,0
10797,,Indooroopilly State High School. Library Resource Centre.,QISHS,0
12166,,Inner West Council.,,224762
NAML,NAML,Inner West Council. Ashfield Municipal Library.,12166,44792
